 Which borough in NY had the greatest number of accidents due to view obstruction in heavy fog? ---- Answer: act:Brooklyn

+-------------+------------------+--------------------+-----------+---------------------+-----------------+-----------+--------------------------+
| Accident    | Borough          | Location           | Zipcode   | Date                | Station ID      | Weather   | Station Type             |
| act:4323092 | act:Bronx        | act:40.866,-73.838 | act:10469 | 2020-06-19T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200619 |
| act:4321368 | act:Bronx        | act:40.854,-73.900 | act:10457 | 2020-06-18T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200618 |
| act:4321021 | act:Queens       | act:40.759,-73.918 |           | 2020-06-11T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200611 |
| act:4321247 | act:Brooklyn     | act:40.615,-73.984 | act:11204 | 2020-06-18T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200618 |
| act:4337282 | act:Bronx        | act:40.814,-73.913 | act:10455 | 2020-08-11T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200811 |
| act:4337599 | act:Bronx        | act:40.843,-73.839 | act:10461 | 2020-08-11T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200811 |
| act:4338693 | act:Brooklyn     | act:40.676,-73.939 |           | 2020-08-11T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200811 |
| act:4351061 | act:Bronx        | act:40.846,-73.902 | act:10457 | 2020-08-11T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200811 |
| act:4337478 | act:Queens       | act:40.592,-73.784 |           | 2020-08-11T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20200811 |
| act:4360153 | act:Bronx        | act:40.820,-73.860 | act:10473 | 2020-10-21T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201021 |
| act:4359687 | act:Brooklyn     | act:40.583,-73.973 |           | 2020-10-21T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201021 |
| act:4361902 | act:Brooklyn     | act:40.719,-73.945 | act:11211 | 2020-10-27T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201027 |
| act:4360544 | act:Queens       | act:40.693,-73.735 | act:11411 | 2020-10-23T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201023 |
| act:4362052 | act:Manhattan    | act:40.738,-74.004 | act:10014 | 2020-10-23T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201023 |
| act:4360605 | act:Manhattan    | act:40.729,-74.004 |           | 2020-10-23T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201023 |
| act:4359562 | act:Manhattan    | act:40.864,-73.919 | act:10034 | 2020-10-20T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201020 |
| act:4362790 | act:Brooklyn     | act:40.690,-73.983 | act:11201 | 2020-10-20T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201020 |
| act:4371048 | act:Bronx        | act:40.871,-73.833 | act:10475 | 2020-10-23T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201023 |
| act:4361766 | act:Brooklyn     | act:40.684,-73.920 | act:11233 | 2020-10-26T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201026 |
| act:4361741 | act:Queens       | act:40.708,-73.761 |           | 2020-10-26T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201026 |
| act:4359729 | act:Queens       | act:40.760,-73.942 | act:11106 | 2020-10-20T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201020 |
| act:4360100 | act:Brooklyn     | act:40.657,-73.898 | act:11207 | 2020-10-21T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201021 |
| act:4361245 | act:Queens       | act:40.744,-73.834 |           | 2020-10-26T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201026 |
| act:4364779 | act:Manhattan    | act:40.845,-73.937 | act:10033 | 2020-11-05T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201105 |
| act:4365200 | act:Brooklyn     | act:40.653,-73.959 | act:11226 | 2020-11-05T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201105 |
| act:4366320 | act:Brooklyn     | act:40.695,-73.953 |           | 2020-11-05T00:00:00 | sta:USW00094789 | Heavy Fog | wea:USW00094789/20201105 |
| act:4379567 | act:Bronx        | act:40.852,-73.890 |           | 2020-12-12T00:00:00 | sta:USW00014732 | Heavy Fog | wea:USW00014732/20201212 |
+-------------+------------------+--------------------+-----------+---------------------+-----------------+-----------+--------------------------+
