How many accidents in Queens could have been caused by Distraction due to Thunder in 2020? ---- Answer: 686

+-------------+------------+--------------------+-----------+---------------------+-----------------+-----------+--------------------------+
| Accident    | Borough    | Location           | Zipcode   | Date                | Station ID      | Weather   | Station Type             |
| act:4309870 | act:Queens | act:40.745,-73.910 | act:11377 | 2020-04-21T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200421 |
| act:4308879 | act:Queens | act:40.593,-73.791 |           | 2020-04-13T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200413 |
| act:4309980 | act:Queens | act:40.691,-73.787 | act:11433 | 2020-04-21T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200421 |
| act:4308269 | act:Queens | act:40.788,-73.815 | act:11357 | 2020-04-09T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200409 |
| act:4308744 | act:Queens | act:40.668,-73.801 |           | 2020-04-13T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200413 |
| act:4316766 | act:Queens | act:40.734,-73.873 | act:11373 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4315238 | act:Queens | act:40.728,-73.747 | act:11427 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4315600 | act:Queens | act:40.665,-73.802 | act:11430 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4315546 | act:Queens | act:40.698,-73.853 | act:11421 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4321050 | act:Queens | act:40.755,-73.892 | act:11372 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4315551 | act:Queens | act:40.674,-73.805 | act:11420 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4315501 | act:Queens | act:40.687,-73.863 | act:11421 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
| act:4317535 | act:Queens | act:40.755,-73.894 | act:11372 | 2020-05-29T00:00:00 | sta:USW00014732 | Thunder   | wea:USW00014732/20200529 |
| act:4315904 | act:Queens | act:40.690,-73.808 | act:11435 | 2020-05-23T00:00:00 | sta:USW00094789 | Thunder   | wea:USW00094789/20200523 |
