STATION_ID,WEATHER_ID,WEATHER_TYPE,DATE
USW00014768,WT01,Fog or ice fog or freezing fog,20200106
USW00014771,WT01,Fog or ice fog or freezing fog,20200106
USW00064776,WT01,Fog or ice fog or freezing fog,20200106
USW00094725,WT01,Fog or ice fog or freezing fog,20200106
USW00094725,WT08,Smoke or haze,20200106
USW00094728,WT01,Fog or ice fog or freezing fog,20200106
USW00094740,WT01,Fog or ice fog or freezing fog,20200106
USW00094740,WT02,Heavy Fog,20200106
USW00094740,WT08,Smoke or haze,20200106
USW00094789,WT01,Fog or ice fog or freezing fog,20200106
USW00094790,WT01,Fog or ice fog or freezing fog,20200106
USW00094790,WT08,Smoke or haze,20200106
USC00304996,WT04,Ice pellets,20200107
USC00306867,WT01,Fog or ice fog or freezing fog,20200107
USC00306867,WT04,Ice pellets,20200107
USC00306867,WT05,Hail,20200107
USW00004725,WT01,Fog or ice fog or freezing fog,20200107
USW00004781,WT01,Fog or ice fog or freezing fog,20200107
USW00014733,WT01,Fog or ice fog or freezing fog,20200107
USW00014750,WT01,Fog or ice fog or freezing fog,20200107
USW00014771,WT01,Fog or ice fog or freezing fog,20200107
USW00064776,WT01,Fog or ice fog or freezing fog,20200107
USW00094740,WT01,Fog or ice fog or freezing fog,20200107
USW00094740,WT08,Smoke or haze,20200107
USC00304912,WT03,Thunder,20200108
USC00305673,WT11,High or damaging wind,20200108
USC00306314,WT04,Ice pellets,20200108
USC00306746,WT01,Fog or ice fog or freezing fog,20200108
USC00306867,WT03,Thunder,20200108
USC00306867,WT04,Ice pellets,20200108
USC00306867,WT05,Hail,20200108
USC00306988,WT03,Thunder,20200108
USC00307750,WT01,Fog or ice fog or freezing fog,20200108
USC00307750,WT03,Thunder,20200108
USW00004725,WT09,Blowing or drifting snow,20200108
USW00004781,WT01,Fog or ice fog or freezing fog,20200108
USW00014733,WT01,Fog or ice fog or freezing fog,20200108
USW00014733,WT09,Blowing or drifting snow,20200108
USW00014768,WT01,Fog or ice fog or freezing fog,20200108
USW00014768,WT02,Heavy Fog,20200108
USW00014768,WT08,Smoke or haze,20200108
USW00014768,WT09,Blowing or drifting snow,20200108
USW00014771,WT09,Blowing or drifting snow,20200108
USW00064776,WT01,Fog or ice fog or freezing fog,20200108
USW00064776,WT08,Smoke or haze,20200108
USW00094725,WT01,Fog or ice fog or freezing fog,20200108
USW00094728,WT08,Smoke or haze,20200108
USW00094740,WT01,Fog or ice fog or freezing fog,20200108
USW00094740,WT02,Heavy Fog,20200108
USW00094740,WT08,Smoke or haze,20200108
USW00094790,WT01,Fog or ice fog or freezing fog,20200108
USW00094790,WT02,Heavy Fog,20200108
USW00094790,WT08,Smoke or haze,20200108
USC00306867,WT01,Fog or ice fog or freezing fog,20200109
USC00306867,WT04,Ice pellets,20200109
USW00004725,WT01,Fog or ice fog or freezing fog,20200109
USW00004725,WT08,Smoke or haze,20200109
USW00014768,WT01,Fog or ice fog or freezing fog,20200109
USW00014768,WT08,Smoke or haze,20200109
USW00094740,WT01,Fog or ice fog or freezing fog,20200109
USW00094740,WT08,Smoke or haze,20200109
USC00301388,WT04,Ice pellets,20200110
USC00303322,WT06,Glaze,20200110
USC00303851,WT06,Glaze,20200110
USC00303983,WT06,Glaze,20200110
USC00304996,WT06,Glaze,20200110
USC00305280,WT04,Ice pellets,20200110
USC00305280,WT06,Glaze,20200110
USC00305512,WT06,Glaze,20200110
USC00306525,WT01,Fog or ice fog or freezing fog,20200110
USC00308132,WT01,Fog or ice fog or freezing fog,20200110
USC00308910,WT01,Fog or ice fog or freezing fog,20200110
USC00309425,WT06,Glaze,20200110
USW00014733,WT01,Fog or ice fog or freezing fog,20200110
USW00014750,WT06,Glaze,20200110
USW00014757,WT08,Smoke or haze,20200110
USW00014768,WT01,Fog or ice fog or freezing fog,20200110
USW00014771,WT01,Fog or ice fog or freezing fog,20200110
USW00094725,WT01,Fog or ice fog or freezing fog,20200110
USW00094740,WT01,Fog or ice fog or freezing fog,20200110
USW00094740,WT08,Smoke or haze,20200110
USW00094790,WT01,Fog or ice fog or freezing fog,20200110
USC00300055,WT01,Fog or ice fog or freezing fog,20200111
USC00303322,WT01,Fog or ice fog or freezing fog,20200111
USC00303851,WT11,High or damaging wind,20200111
USC00304844,WT01,Fog or ice fog or freezing fog,20200111
USC00305280,WT01,Fog or ice fog or freezing fog,20200111
USC00305280,WT06,Glaze,20200111
USC00306867,WT01,Fog or ice fog or freezing fog,20200111
USC00307329,WT01,Fog or ice fog or freezing fog,20200111
USC00307750,WT01,Fog or ice fog or freezing fog,20200111
USC00308962,WT01,Fog or ice fog or freezing fog,20200111
USC00309049,WT01,Fog or ice fog or freezing fog,20200111
USW00004781,WT01,Fog or ice fog or freezing fog,20200111
USW00014733,WT01,Fog or ice fog or freezing fog,20200111
USW00014750,WT01,Fog or ice fog or freezing fog,20200111
USW00014768,WT01,Fog or ice fog or freezing fog,20200111
USW00014771,WT01,Fog or ice fog or freezing fog,20200111
USW00064776,WT01,Fog or ice fog or freezing fog,20200111
USW00094725,WT01,Fog or ice fog or freezing fog,20200111
USW00094740,WT01,Fog or ice fog or freezing fog,20200111
USW00094789,WT01,Fog or ice fog or freezing fog,20200111
USW00094790,WT01,Fog or ice fog or freezing fog,20200111
USC00300055,WT01,Fog or ice fog or freezing fog,20200112
USC00300055,WT11,High or damaging wind,20200112
USC00300085,WT11,High or damaging wind,20200112
USC00300317,WT11,High or damaging wind,20200112
USC00300443,WT11,High or damaging wind,20200112
USC00300937,WT01,Fog or ice fog or freezing fog,20200112
USC00300937,WT11,High or damaging wind,20200112
USC00301309,WT01,Fog or ice fog or freezing fog,20200112
USC00303322,WT01,Fog or ice fog or freezing fog,20200112
USC00303346,WT06,Glaze,20200112
USC00304207,WT11,High or damaging wind,20200112
USC00304564,WT01,Fog or ice fog or freezing fog,20200112
USC00304564,WT11,High or damaging wind,20200112
USC00304684,WT01,Fog or ice fog or freezing fog,20200112
USC00304684,WT11,High or damaging wind,20200112
USC00304844,WT01,Fog or ice fog or freezing fog,20200112
USC00304844,WT11,High or damaging wind,20200112
USC00304996,WT01,Fog or ice fog or freezing fog,20200112
USC00304996,WT04,Ice pellets,20200112
USC00304996,WT06,Glaze,20200112
USC00305233,WT11,High or damaging wind,20200112
USC00305236,WT11,High or damaging wind,20200112
USC00305280,WT01,Fog or ice fog or freezing fog,20200112
USC00306047,WT11,High or damaging wind,20200112
USC00306196,WT11,High or damaging wind,20200112
USC00306465,WT11,High or damaging wind,20200112
USC00306525,WT11,High or damaging wind,20200112
USC00306746,WT11,High or damaging wind,20200112
USC00306747,WT11,High or damaging wind,20200112
USC00306867,WT01,Fog or ice fog or freezing fog,20200112
USC00307329,WT11,High or damaging wind,20200112
USC00307425,WT01,Fog or ice fog or freezing fog,20200112
USC00307750,WT11,High or damaging wind,20200112
USC00308132,WT11,High or damaging wind,20200112
USC00308910,WT01,Fog or ice fog or freezing fog,20200112
USC00308910,WT11,High or damaging wind,20200112
USC00308962,WT11,High or damaging wind,20200112
USC00309049,WT01,Fog or ice fog or freezing fog,20200112
USW00004724,WT01,Fog or ice fog or freezing fog,20200112
USW00004725,WT01,Fog or ice fog or freezing fog,20200112
USW00004781,WT01,Fog or ice fog or freezing fog,20200112
USW00004781,WT02,Heavy Fog,20200112
USW00004789,WT01,Fog or ice fog or freezing fog,20200112
USW00014732,WT01,Fog or ice fog or freezing fog,20200112
USW00014732,WT08,Smoke or haze,20200112
USW00014733,WT01,Fog or ice fog or freezing fog,20200112
USW00014733,WT03,Thunder,20200112
USW00014735,WT01,Fog or ice fog or freezing fog,20200112
USW00014747,WT01,Fog or ice fog or freezing fog,20200112
USW00014750,WT01,Fog or ice fog or freezing fog,20200112
USW00014750,WT02,Heavy Fog,20200112
USW00014757,WT01,Fog or ice fog or freezing fog,20200112
USW00014768,WT01,Fog or ice fog or freezing fog,20200112
USW00014771,WT01,Fog or ice fog or freezing fog,20200112
USW00014771,WT04,Ice pellets,20200112
USW00054757,WT01,Fog or ice fog or freezing fog,20200112
USW00054773,WT01,Fog or ice fog or freezing fog,20200112
USW00054778,WT01,Fog or ice fog or freezing fog,20200112
USW00054787,WT01,Fog or ice fog or freezing fog,20200112
USW00054790,WT01,Fog or ice fog or freezing fog,20200112
USW00064775,WT01,Fog or ice fog or freezing fog,20200112
USW00064776,WT01,Fog or ice fog or freezing fog,20200112
USW00064776,WT06,Glaze,20200112
USW00094704,WT01,Fog or ice fog or freezing fog,20200112
USW00094725,WT01,Fog or ice fog or freezing fog,20200112
USW00094725,WT06,Glaze,20200112
USW00094728,WT01,Fog or ice fog or freezing fog,20200112
USW00094740,WT01,Fog or ice fog or freezing fog,20200112
USW00094740,WT06,Glaze,20200112
USW00094745,WT01,Fog or ice fog or freezing fog,20200112
USW00094789,WT01,Fog or ice fog or freezing fog,20200112
USW00094790,WT01,Fog or ice fog or freezing fog,20200112
USC00300317,WT11,High or damaging wind,20200113
USC00304844,WT06,Glaze,20200113
USC00304996,WT01,Fog or ice fog or freezing fog,20200113
USC00304996,WT04,Ice pellets,20200113
USC00304996,WT06,Glaze,20200113
USC00305426,WT01,Fog or ice fog or freezing fog,20200113
USC00306480,WT06,Glaze,20200113
USC00306867,WT01,Fog or ice fog or freezing fog,20200113
USC00308910,WT11,High or damaging wind,20200113
USC00309049,WT01,Fog or ice fog or freezing fog,20200113
USC00309593,WT11,High or damaging wind,20200113
USW00004781,WT01,Fog or ice fog or freezing fog,20200113
USW00014732,WT01,Fog or ice fog or freezing fog,20200113
USW00014732,WT08,Smoke or haze,20200113
USW00014733,WT01,Fog or ice fog or freezing fog,20200113
USW00014733,WT06,Glaze,20200113
