date,station_id,AWND,TAVG,TMAX,TMIN,WESF
20200101,USW00014771,67,5,17,-21,
20200101,USW00054757,47,,-27,-55,
20200101,USW00054773,56,,11,-21,
20200101,USW00054778,49,,0,-43,
20200101,USW00054780,59,,56,33,
20200101,USW00054787,56,,56,6,
20200101,USW00054790,51,,56,0,
20200101,USW00064756,,,20,-13,
20200101,USW00064758,,,-8,-67,
20200101,USW00064775,47,,11,-16,
20200101,USW00064776,20,,22,-5,
20200101,USW00094704,21,,6,-55,
20200101,USW00094725,48,,17,-5,
20200101,USW00094728,38,,50,11,
20200101,USW00094740,41,,-21,-32,
20200101,USW00094745,50,,33,-10,
20200101,USW00094789,79,43,56,11,
20200101,USW00094790,75,,11,0,
20200102,US1NYCB0016,,,,,0
20200102,US1NYCN0009,,,,,10
20200102,US1NYCQ0035,,,,,3
20200102,US1NYCQ0039,,,,,3
20200102,US1NYCR0005,,,,,5
20200102,US1NYCY0002,,,,,0
20200102,US1NYDL0023,,,,,0
20200102,US1NYDL0025,,,,,0
20200102,US1NYDL0032,,,,,10
20200102,US1NYDT0010,,,,,0
20200102,US1NYDT0024,,,,,0
20200102,US1NYER0059,,,,,0
20200102,US1NYER0138,,,,,3
20200102,US1NYER0166,,,,,10
20200102,US1NYES0006,,,,,13
20200102,US1NYFK0007,,,,,0
20200102,US1NYFK0009,,,,,18
20200102,US1NYMR0015,,,,,0
20200102,US1NYNG0012,,,,,0
20200102,US1NYNS0034,,,,,0
20200102,US1NYOD0043,,,,,0
20200102,US1NYOG0071,,,,,0
20200102,US1NYOR0021,,,,,0
20200102,US1NYRN0020,,,,,0
20200102,US1NYRN0024,,,,,0
20200102,US1NYSC0027,,,,,0
20200102,US1NYSF0016,,,,,0
20200102,US1NYSF0103,,,,,0
20200102,US1NYSF0114,,,,,0
20200102,US1NYSF0127,,,,,0
20200102,US1NYSL0006,,,,,20
20200102,US1NYSR0016,,,,,0
20200102,US1NYTM0015,,,,,0
20200102,US1NYTM0042,,,,,0
20200102,US1NYUL0029,,,,,0
20200102,US1NYWC0018,,,,,0
20200102,US1NYWN0018,,,,,0
20200102,US1NYWN0026,,,,,0
20200102,USC00300023,,,-11,-89,
20200102,USC00300055,,,94,-33,
20200102,USC00300063,,,17,-56,
20200102,USC00300085,,,0,-50,
20200102,USC00300093,,,-17,-67,
20200102,USC00300183,,,-6,-33,
20200102,USC00300321,,,11,-33,
20200102,USC00300331,,,6,-33,
20200102,USC00300343,,,17,-28,
20200102,USC00300364,13,,33,-56,
20200102,USC00300443,58,,78,-33,
20200102,USC00300668,,,11,-78,
20200102,USC00300785,,,-39,-61,
20200102,USC00300870,,,17,-44,
20200102,USC00300889,,,50,-28,
20200102,USC00300937,,,56,-6,
20200102,USC00301068,,,33,-33,
20200102,USC00301102,,,-11,-83,
20200102,USC00301110,,,0,-44,
20200102,USC00301152,,,39,-28,
20200102,USC00301211,,,11,-39,
20200102,USC00301309,,,39,-17,
20200102,USC00301595,,,,22,
20200102,USC00301625,,,11,-44,
20200102,USC00301664,,,0,-28,
20200102,USC00301708,,,0,-44,
20200102,USC00301752,,,44,11,
20200102,USC00301787,,,-17,-78,
20200102,USC00301966,,,39,-44,
20200102,USC00301974,,,33,-72,
20200102,USC00302036,,,-17,-100,
20200102,USC00302151,,,56,0,
20200102,USC00302169,,,67,-83,
20200102,USC00302197,,,28,-28,0
20200102,USC00302366,,,-17,-100,
20200102,USC00302454,,,-6,-83,
20200102,USC00302574,,,56,-28,
20200102,USC00302610,,,6,-72,
20200102,USC00303025,,,0,-117,
20200102,USC00303050,,,22,-22,
20200102,USC00303087,,,11,-17,
20200102,USC00303184,,,44,-44,
20200102,USC00303322,,,-28,-67,
20200102,USC00303346,,,-6,-17,
20200102,USC00303773,,,83,-22,
20200102,USC00303851,,,-33,-61,
20200102,USC00303955,,,28,-33,
20200102,USC00303983,,,0,-100,
20200102,USC00304102,,,-22,-83,
20200102,USC00304174,,,-11,-56,
20200102,USC00304207,,,6,-61,
20200102,USC00304555,,,-33,-72,
20200102,USC00304575,,,44,-72,
20200102,USC00304731,,,-17,-78,
20200102,USC00304808,,,11,-83,
20200102,USC00304844,,,83,-22,
20200102,USC00304912,,,0,-39,
20200102,USC00304996,,,-6,-28,
20200102,USC00305113,,,-17,-50,
20200102,USC00305142,,,111,-28,
20200102,USC00305233,,,0,-56,
20200102,USC00305426,,,56,-22,
20200102,USC00305512,,,-17,-89,
20200102,USC00305597,,,28,-50,
20200102,USC00305606,,,111,67,
20200102,USC00305714,,,-17,-67,
20200102,USC00306047,,,28,-22,
20200102,USC00306085,,,-6,-72,
20200102,USC00306164,,,17,-22,
20200102,USC00306196,,,6,-106,
20200102,USC00306276,,,56,0,
20200102,USC00306314,,,94,-22,
20200102,USC00306525,,,28,-83,
20200102,USC00306538,,,39,-33,
20200102,USC00306747,,,67,-33,
20200102,USC00306774,,,6,-61,
20200102,USC00306867,,,78,-44,
20200102,USC00307134,,,106,-28,
20200102,USC00307484,,,44,-33,
20200102,USC00307520,,,39,-39,
20200102,USC00307705,,,6,-50,
20200102,USC00307742,0,,22,-44,
20200102,USC00307842,,,11,-44,
20200102,USC00308248,,,11,-61,
20200102,USC00308455,,,50,-11,
20200102,USC00308577,,,39,-28,
20200102,USC00308578,,,22,-33,
20200102,USC00308631,,,-22,-50,
20200102,USC00308721,,,50,-39,
20200102,USC00308839,,,33,-17,
20200102,USC00308910,,,22,-33,
20200102,USC00308932,,,-11,-94,
20200102,USC00308962,,,17,-50,
20200102,USC00309000,,,22,-17,
20200102,USC00309049,,,100,-39,
20200102,USC00309072,,,-28,-94,
20200102,USC00309389,,,22,-22,
20200102,USC00309442,,,6,-67,
20200102,USC00309593,,,17,-39,3
20200102,USC00309690,,,44,-11,
20200102,USR0000NGAN,,7,78,-78,
20200102,USR0000NSAR,,17,67,-33,
20200102,USR0000NSCH,,-12,33,-61,
20200102,USR0000NSHR,,14,72,-56,
20200102,USR0000NSTO,,37,94,-22,
20200102,USW00004724,78,,72,-5,
20200102,USW00004725,37,-7,56,-49,
20200102,USW00004781,42,29,100,-27,
20200102,USW00004789,29,,72,-60,
20200102,USW00014719,34,,83,-77,
20200102,USW00014732,36,43,94,11,
20200102,USW00014733,64,34,83,-5,
20200102,USW00014735,41,18,72,-32,
20200102,USW00014747,68,,72,6,
20200102,USW00014748,12,,89,-82,
20200102,USW00014750,24,-3,44,-32,
20200102,USW00014757,24,,94,-21,
20200102,USW00014768,51,26,89,-27,
20200102,USW00014771,40,33,106,-27,
20200102,USW00054757,47,,56,-27,
20200102,USW00054773,38,,100,-21,
20200102,USW00054778,40,,83,-32,
20200102,USW00054780,37,,94,11,
20200102,USW00054787,38,,89,-10,
20200102,USW00054790,36,,94,-16,
20200102,USW00064756,,,85,-39,
20200102,USW00064758,,,62,-73,
20200102,USW00064775,26,,100,-49,
